Host,CIS Reference,Control Name,Executed_Command,Terminal_Output,Keywords,Complaint Status,Scan Date
192.168.0.110,1.7.1,Set 'logging on',sh logging,"Syslog logging: enabled (0 messages dropped, 3 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: level debugging, 8170 messages logged, xml disabled,
                     filtering disabled
    Monitor logging: level debugging, 0 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level informational, 8167 messages logged, xml disabled,
                    filtering disabled
    Exception Logging: size (8192 bytes)
    Count and timestamp logging messages: disabled
    Persistent logging: disabled

No active filter modules.

    Trap logging: level informational, 8176 message lines logged
 --More--                 Logging Source-Interface:       VRF Name:
        Loopback1                       

Log Buffer (8192 bytes):
 group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 9, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 27 10:50:23: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 27 12:32:25: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 27 12:32:25: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 13, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 27 12:32:25: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 27 14:14:27: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 27 14:14:27: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 17, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 27 14:14:27: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 27 15:56:29: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 27 15:56:29: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 21, spi 0x2873645B85C282DEC6F7E29DBE552C90
 --More--         May 27 15:56:29: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 27 17:38:30: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 27 17:38:30: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 25, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 27 17:38:30: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 27 19:20:32: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 27 19:20:32: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 29, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 27 19:20:32: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 27 21:02:34: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 27 21:02:34: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 33, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 27 21:02:34: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 27 22:44:36: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 27 22:44:36: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 37, spi 0x2873645B85C282DEC6F7E29DBE552C90
 --More--         May 27 22:44:36: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 00:26:37: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 00:26:37: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 41, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 28 00:26:37: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 02:08:39: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 02:08:39: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 45, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 28 02:08:39: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 03:50:41: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 03:50:41: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 49, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 28 03:50:41: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 05:32:43: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 05:32:43: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 53, spi 0x2873645B85C282DEC6F7E29DBE552C90
 --More--         May 28 05:32:43: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 06:43:43: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 06:43:43: %GDOI-5-SA_KEK_UPDATED: SA KEK was updated 0xD60F0EE3C8608DCFE3E45C97A79BC58C
May 28 06:43:43: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 57, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 28 06:43:43: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 07:14:44: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 07:14:44: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 1, spi 0xD60F0EE3C8608DCFE3E45C97A79BC58C
May 28 07:14:44: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 08:56:46: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 08:56:46: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 5, spi 0xD60F0EE3C8608DCFE3E45C97A79BC58C
May 28 08:56:46: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
 --More--         May 28 10:38:48: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 10:38:48: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 9, spi 0xD60F0EE3C8608DCFE3E45C97A79BC58C
May 28 10:38:48: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 12:20:50: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 12:20:50: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 13, spi 0xD60F0EE3C8608DCFE3E45C97A79BC58C
May 28 12:20:50: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 14:02:52: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 14:02:52: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 17, spi 0xD60F0EE3C8608DCFE3E45C97A79BC58C
May 28 14:02:52: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 15:44:53: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 15:44:53: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 21, spi 0xD60F0EE3C8608DCFE3E45C97A79BC58C
May 28 15:44:53: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
 --More--         May 28 17:26:55: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 17:26:55: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 25, spi 0xD60F0EE3C8608DCFE3E45C97A79BC58C
May 28 17:26:55: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default",Output should refelect,Non-Compliant,01-06-2025 20:10
192.168.0.110,1.7.2,Set 'buffer size' for 'logging buffered',show run | incl logging buffered,logging buffered informational,"""logging buffered 64000""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.7.3,Set 'logging console critical',show run | incl logging console,,"""logging console critical""",Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,1.7.4,Set IP address for 'logging host',show run | i logging host,,"""logging buffered 64000, logging console critical, logging monitor informational, logging origin-id string SYSLOG, logging facility syslog""",Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,1.7.5,Set 'logging trap informational',sh logging,"Syslog logging: enabled (0 messages dropped, 3 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: level debugging, 8170 messages logged, xml disabled,
                     filtering disabled
    Monitor logging: level debugging, 0 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level informational, 8167 messages logged, xml disabled,
                    filtering disabled
    Exception Logging: size (8192 bytes)
    Count and timestamp logging messages: disabled
    Persistent logging: disabled

No active filter modules.

    Trap logging: level informational, 8176 message lines logged
 --More--                 Logging Source-Interface:       VRF Name:
        Loopback1                       

Log Buffer (8192 bytes):
 group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 9, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 27 10:50:23: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 27 12:32:25: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 27 12:32:25: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 13, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 27 12:32:25: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 27 14:14:27: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 27 14:14:27: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 17, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 27 14:14:27: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 27 15:56:29: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 27 15:56:29: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 21, spi 0x2873645B85C282DEC6F7E29DBE552C90
 --More--         May 27 15:56:29: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 27 17:38:30: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 27 17:38:30: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 25, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 27 17:38:30: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 27 19:20:32: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 27 19:20:32: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 29, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 27 19:20:32: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 27 21:02:34: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 27 21:02:34: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 33, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 27 21:02:34: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 27 22:44:36: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 27 22:44:36: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 37, spi 0x2873645B85C282DEC6F7E29DBE552C90
 --More--         May 27 22:44:36: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 00:26:37: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 00:26:37: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 41, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 28 00:26:37: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 02:08:39: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 02:08:39: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 45, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 28 02:08:39: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 03:50:41: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 03:50:41: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 49, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 28 03:50:41: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 05:32:43: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 05:32:43: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 53, spi 0x2873645B85C282DEC6F7E29DBE552C90
 --More--         May 28 05:32:43: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 06:43:43: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 06:43:43: %GDOI-5-SA_KEK_UPDATED: SA KEK was updated 0xD60F0EE3C8608DCFE3E45C97A79BC58C
May 28 06:43:43: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 57, spi 0x2873645B85C282DEC6F7E29DBE552C90
May 28 06:43:43: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 07:14:44: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 07:14:44: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 1, spi 0xD60F0EE3C8608DCFE3E45C97A79BC58C
May 28 07:14:44: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 08:56:46: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 08:56:46: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 5, spi 0xD60F0EE3C8608DCFE3E45C97A79BC58C
May 28 08:56:46: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
 --More--         May 28 10:38:48: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 10:38:48: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 9, spi 0xD60F0EE3C8608DCFE3E45C97A79BC58C
May 28 10:38:48: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 12:20:50: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 12:20:50: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 13, spi 0xD60F0EE3C8608DCFE3E45C97A79BC58C
May 28 12:20:50: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 14:02:52: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 14:02:52: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 17, spi 0xD60F0EE3C8608DCFE3E45C97A79BC58C
May 28 14:02:52: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
May 28 15:44:53: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 15:44:53: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 21, spi 0xD60F0EE3C8608DCFE3E45C97A79BC58C
May 28 15:44:53: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default
 --More--         May 28 17:26:55: %GDOI-5-SA_TEK_UPDATED: SA TEK was updated
May 28 17:26:55: %GDOI-5-GM_RECV_REKEY: Received Rekey for group BDNGETVPN from 10.5.254.67 to 10.254.0.72 with seq # 25, spi 0xD60F0EE3C8608DCFE3E45C97A79BC58C
May 28 17:26:55: %GDOI-5-GM_INSTALL_POLICIES_SUCCESS: SUCCESS: Installation of Reg/Rekey policies from KS 10.5.254.67 for group BDNGETVPN & gm identity 10.254.0.72 fvrf default ivrf default",Output should refelect,Non-Compliant,01-06-2025 20:10
192.168.0.110,1.7.6,Set 'service timestamps debug datetime',sh run | incl service timestamps,"service timestamps debug datetime msec
service timestamps log datetime localtime","""service timestamps debug datetime, service timestamps log datetime msec localtime""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.7.7,Set 'logging source interface',show run | incl logging source,logging source-interface Loopback1,"""logging source-interface""",Compliant,01-06-2025 20:10
192.168.0.110,1.8.2,Set 'ip address' for 'ntp server',show run | include ntp,"ntp authentication-key 111 md5 0006330800532B08 7
ntp authenticate
ntp trusted-key 111
ntp source Vlan254
ntp update-calendar
ntp server 10.1.62.11 prefer
ntp server 10.2.62.11
ntp server 10.1.62.12
ntp server 10.2.62.12",Output should refelect,Non-Compliant,01-06-2025 20:10
192.168.0.110,1.9.1,Set 'no ip source-route',sh run | in no ip source route,,Output should refelect,Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,1.9.2,Set 'no ip proxy-arp',sh run | in no ip proxy-arp,"no ip proxy-arp
 no ip proxy-arp
 no ip proxy-arp
 no ip proxy-arp
 no ip proxy-arp
 no ip proxy-arp
 no ip proxy-arp
 no ip proxy-arp
 no ip proxy-arp
 no ip proxy-arp","""no ip proxy-arp""",Compliant,01-06-2025 20:10
